Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,1,1,1,2,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,4,3,2,5,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,1,1,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Tentativa de homicidio doloso,Tentativa de homicidio doloso,1,0,1,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,1,0,1,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,10,8,11,10,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,1,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,11,6,4,14,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,21,21,31,28,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,6,1,4,6,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,163,176,305,227,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,48,56,6,3,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,1,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,1,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,9,7,10,12,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,79,80,81,83,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,4,1,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,0,0,1,1,,,,,,,,
2026,1,Aguascalientes,La vida y la Integridad corporal,Aborto,Aborto,Aborto,1,1,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro extorsivo,Secuestro extorsivo,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro con calidad de rehén,Secuestro con calidad de rehén,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro para causar daño,Secuestro para causar daño,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Secuestro,Secuestro exprés,Secuestro exprés,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Privación ilegal de la libertad,Privación ilegal de la libertad,Privación ilegal de la libertad,8,4,6,2,,,,,,,,
2026,1,Aguascalientes,Libertad personal,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,Retención o sustracción de menores e incapaces,13,13,15,15,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,48,55,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,39,41,5,4,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,11,6,12,13,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Violación,Violación simple,Violación simple,18,12,14,19,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Violación,Violación equiparada,Violación equiparada,10,15,12,8,,,,,,,,
2026,1,Aguascalientes,La libertad y la seguridad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,Violación a la intimidad sexual,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,11,8,8,10,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Con violencia,9,2,2,5,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a casa habitación,Sin violencia,142,101,131,140,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Con violencia,5,2,1,1,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Coche de 4 ruedas,Sin violencia,24,18,17,21,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Con violencia,1,7,8,4,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Motocicleta,Sin violencia,71,84,81,60,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Con violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de vehículo automotor - Embarcaciones,Sin violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de autopartes,Sin violencia,18,9,19,18,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,1,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,37,31,49,50,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,65,45,59,81,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,2,0,1,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,1,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Con violencia,3,4,11,6,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,6,3,5,2,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,2,1,1,1,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Con violencia,2,0,1,2,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,1,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Con violencia,20,11,33,35,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo a negocio,Sin violencia,111,108,126,124,,,,,,,,
2026,1,Aguascalientes,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,,,,,,,,
