id_cliente,edad,ingresos_mensuales,gasto_mensual_promedio,score_crediticio,transacciones_mes,tarjeta_asignada
11124,45,26571.34,12233.01,671,15,Gold
47224,36,25377.85,17717.43,645,14,Gold
92020,45,130860.61,52346.17,785,49,Black
21820,48,34026.77,23134.95,676,15,Gold
93676,48,200181.75,62860.2,769,38,Black
40094,48,30979.53,17690.49,588,18,Gold
58465,32,20154.69,10744.15,626,14,Gold
98132,59,195091.3,81793.69,767,41,Black
44723,24,14197.34,10375.58,727,13,Gold
17806,35,19912.54,10969.46,623,23,Gold
11534,34,17147.62,10367.01,617,16,Gold
95889,65,116509.19,37309.2,774,48,Black
6342,37,24431.67,10481.37,715,11,Gold
24554,29,24742.2,16105.95,669,14,Gold
64388,36,46216.15,25417.05,727,27,Platinum
84583,55,67308.83,31457.2,753,30,Platinum
54123,38,36811.44,16719.1,594,13,Gold
6821,47,34960.18,15977.89,703,13,Gold
3024,35,30769.5,14449.59,628,17,Gold
85629,59,54177.5,17134.82,720,23,Platinum
87218,31,36633.59,16285.69,751,21,Platinum
63236,35,75427.94,26660.76,734,33,Platinum
61216,33,70614.81,37023.33,734,17,Platinum
13080,38,27673.52,11543.93,614,12,Gold
5744,42,17671.63,12267.85,625,10,Gold
27538,30,20341.46,11948.89,701,9,Gold
89781,59,59359.87,32141.82,741,37,Platinum
85318,49,61423.87,34547.85,738,32,Platinum
34969,44,22341.95,14331.87,653,11,Gold
11216,30,30559.77,16537.68,638,12,Gold
89922,56,60773.21,33253.07,756,30,Platinum
847,38,26445.84,11850.78,694,11,Gold
7085,41,23455.2,12803.04,646,10,Gold
23728,24,25493.58,9266.27,600,11,Gold
46458,49,21234.2,11580.57,657,16,Gold
23575,42,25123.21,11208.82,711,11,Gold
41753,23,22886.28,12016.06,611,16,Gold
15267,22,27076.56,13980.54,703,7,Gold
99834,40,127007.87,37519.95,812,41,Black
62623,31,80213.19,28116.24,765,24,Platinum
51512,24,33305.05,15225.47,635,16,Gold
65173,62,80086.35,28737.46,765,29,Platinum
74370,39,72278.48,29773.8,684,38,Platinum
37380,42,21055.18,8693.32,666,11,Gold
15651,24,25131.71,10003.51,629,17,Gold
71066,45,62660.57,27307.32,776,22,Platinum
317,38,28409.76,16321.17,549,9,Gold
69730,35,47107.64,16281.77,752,21,Platinum
19219,24,28921.84,12417.58,711,12,Gold
3201,47,25925.88,17422.17,674,14,Gold
26936,29,23036.94,16812.44,733,19,Gold
93775,47,160731.12,65520.73,816,38,Black
14162,47,23437.11,18160.1,677,14,Gold
83052,54,68524.21,44001.65,756,21,Platinum
68992,36,67688.85,31905.69,760,29,Platinum
10984,27,27685.9,19212.73,644,22,Gold
63127,34,79593.65,36692.47,683,28,Platinum
92501,55,110938.51,38404.46,781,56,Black
62728,63,63530.0,33631.63,740,20,Platinum
19625,47,26254.72,13572.95,671,6,Gold
73020,57,53979.51,22373.28,667,29,Platinum
52479,31,23932.55,13549.64,538,17,Gold
68456,34,53495.54,17544.14,728,21,Platinum
44050,29,24102.08,14291.48,662,15,Gold
12858,33,26115.1,11624.33,645,16,Gold
26564,39,18958.71,11396.53,592,16,Gold
26322,34,33929.25,18760.49,671,13,Gold
13047,43,30983.82,19407.61,666,16,Gold
68401,64,69914.13,35704.57,697,33,Platinum
46559,28,21409.36,8681.76,643,14,Gold
78130,59,70164.43,25249.18,733,27,Platinum
30782,30,20386.64,15414.23,592,11,Gold
46760,27,27033.37,16140.15,620,12,Gold
93252,59,147501.76,37084.0,738,43,Black
94787,56,144283.57,60888.91,794,45,Black
15688,25,26468.74,13700.42,678,29,Gold
72423,62,71858.59,23168.92,783,21,Platinum
71905,43,47088.97,18305.18,772,24,Platinum
14870,49,27672.34,14082.62,657,22,Gold
280,33,23073.43,9980.15,676,12,Gold
89636,40,75625.16,37173.04,731,27,Platinum
43176,29,22817.57,11840.17,652,11,Gold
13544,46,30555.73,12888.71,632,12,Gold
57550,37,30042.53,14308.98,736,18,Gold
17826,46,28440.54,16952.98,620,15,Gold
88630,61,74569.28,42913.84,706,31,Platinum
17108,44,23819.83,10744.9,679,14,Gold
65030,47,70808.6,21799.17,759,38,Platinum
18450,45,21271.9,9490.28,651,15,Gold
11379,24,27924.77,17593.53,635,8,Gold
68646,60,45949.97,29770.23,751,34,Platinum
94676,47,69084.48,35502.88,783,51,Black
41712,46,16287.48,10032.88,620,19,Gold
94778,66,132540.02,24621.83,797,52,Black
2909,36,22749.94,14240.65,655,12,Gold
27442,22,28355.96,14149.49,655,14,Gold
6871,36,27045.32,12964.53,623,15,Gold
14236,23,28629.11,12966.37,608,7,Gold
42929,36,30759.26,16858.27,627,19,Gold
26063,32,19677.33,10256.94,598,16,Gold
19791,27,29467.36,16279.51,674,10,Gold
99469,42,150448.34,76162.12,818,44,Black
39980,44,21446.04,15016.02,630,15,Gold
46954,29,21443.07,10789.09,657,17,Gold
31136,22,22143.53,11644.32,675,16,Gold
11037,39,24430.88,14914.22,723,19,Gold
14845,38,26004.12,17494.34,704,10,Gold
70148,58,57434.81,22093.68,709,26,Platinum
11217,32,30522.39,19645.28,649,8,Gold
57326,45,14978.56,6214.54,725,18,Gold
88680,48,75788.51,27959.1,724,24,Platinum
84590,49,71892.21,25457.07,692,31,Platinum
22418,39,26883.28,11588.33,678,18,Gold
91366,67,163971.54,80629.72,795,50,Black
46643,29,24516.15,11392.45,674,7,Gold
21862,38,30151.58,14540.6,672,9,Gold
93958,70,124771.82,38670.22,794,58,Black
55785,36,22635.18,14290.93,654,7,Gold
15926,33,22525.45,12270.94,711,12,Gold
23574,37,21297.09,8681.87,685,15,Gold
71056,44,47086.12,22094.79,758,27,Platinum
82936,43,58014.76,20355.14,728,21,Platinum
98616,39,147552.26,65812.15,753,42,Black
41459,22,29634.78,13274.4,596,25,Gold
