id_correo,texto,etiqueta
1,"estimado usuario, gana un iphone haz clic aquí",Spam
2,reunión para revisar el proyecto quedo atento.,Ham
3,actualización del servidor el fin de semana saludos.,Ham
4,"estimado usuario, enviaré los comentarios por correo gracias.",Ham
5,"hola, te informo que descuento exclusivo hoy solo por hoy",Spam
6,atención: descuento exclusivo hoy solo por hoy,Spam
7,"hola, te informo que reclama tu herencia haz clic aquí",Spam
8,"hola, te informo que gracias por el apoyo en la entrega quedo atento.",Ham
9,atención: reunión para revisar el proyecto gracias.,Ham
10,"hola, te informo que ¿vamos a comer hoy? quedo atento.",Ham
11,descuento exclusivo hoy ¡apúrate!,Spam
12,"hola, te informo que ¿vamos a comer hoy? quedo atento.",Ham
13,gracias por el apoyo en la entrega saludos.,Ham
14,atención: premio garantizado haz clic aquí,Spam
15,"estimado usuario, urgente cambiar contraseña haz clic aquí",Spam
16,urgente cambiar contraseña solo por hoy,Spam
17,"hola, te informo que reclama tu herencia ¡apúrate!",Spam
18,"hola, te informo que favor de confirmar asistencia al curso saludos.",Ham
19,atención: ¿vamos a comer hoy? quedo atento.,Ham
20,atención: descuento exclusivo hoy ¡apúrate!,Spam
21,actualización del servidor el fin de semana gracias.,Ham
22,"hola, te informo que descuento exclusivo hoy solo por hoy",Spam
23,"estimado usuario, ganar dinero gratis ¡apúrate!",Spam
24,atención: felicidades eres el ganador ¡apúrate!,Spam
25,enviaré los comentarios por correo saludos.,Ham
26,"estimado usuario, adjunto envío el reporte mensual quedo atento.",Ham
27,"hola, te informo que descuento exclusivo hoy ¡apúrate!",Spam
28,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
29,atención: actualización del servidor el fin de semana saludos.,Ham
30,ganar dinero gratis solo por hoy,Spam
31,favor de confirmar asistencia al curso gracias.,Ham
32,"saludos, gana un iphone ¡apúrate!",Spam
33,"estimado usuario, premio garantizado ¡apúrate!",Spam
34,"saludos, hola quedamos a las cinco saludos.",Ham
35,adjunto envío el reporte mensual gracias.,Ham
36,actualización del servidor el fin de semana saludos.,Ham
37,"saludos, premio garantizado solo por hoy",Spam
38,atención: premio garantizado haz clic aquí,Spam
39,actualización del servidor el fin de semana quedo atento.,Ham
40,atención: adjunto envío el reporte mensual gracias.,Ham
41,descuento exclusivo hoy haz clic aquí,Spam
42,gracias por el apoyo en la entrega saludos.,Ham
43,"saludos, invierte en cripto ya solo por hoy",Spam
44,"saludos, actualización del servidor el fin de semana gracias.",Ham
45,"saludos, viagra sin receta solo por hoy",Spam
46,adjunto envío el reporte mensual saludos.,Ham
47,"saludos, descuento exclusivo hoy ¡apúrate!",Spam
48,"hola, te informo que enviaré los comentarios por correo gracias.",Ham
49,atención: favor de confirmar asistencia al curso gracias.,Ham
50,"saludos, gana un iphone haz clic aquí",Spam
51,"saludos, enviaré los comentarios por correo quedo atento.",Ham
52,atención: hola quedamos a las cinco quedo atento.,Ham
53,"hola, te informo que hola quedamos a las cinco saludos.",Ham
54,"saludos, enviaré los comentarios por correo gracias.",Ham
55,atención: favor de confirmar asistencia al curso quedo atento.,Ham
56,atención: favor de confirmar asistencia al curso quedo atento.,Ham
57,invierte en cripto ya haz clic aquí,Spam
58,reclama tu herencia solo por hoy,Spam
59,"hola, te informo que descuento exclusivo hoy solo por hoy",Spam
60,atención: viagra sin receta haz clic aquí,Spam
61,"saludos, descuento exclusivo hoy ¡apúrate!",Spam
62,atención: gana un iphone haz clic aquí,Spam
63,atención: actualización del servidor el fin de semana saludos.,Ham
64,premio garantizado ¡apúrate!,Spam
65,"saludos, gana un iphone solo por hoy",Spam
66,"estimado usuario, favor de confirmar asistencia al curso saludos.",Ham
67,"estimado usuario, ganar dinero gratis ¡apúrate!",Spam
68,"estimado usuario, favor de confirmar asistencia al curso gracias.",Ham
69,atención: descuento exclusivo hoy ¡apúrate!,Spam
70,"estimado usuario, reunión para revisar el proyecto quedo atento.",Ham
71,atención: ¿vamos a comer hoy? gracias.,Ham
72,"estimado usuario, urgente cambiar contraseña ¡apúrate!",Spam
73,"hola, te informo que urgente cambiar contraseña haz clic aquí",Spam
74,"saludos, gracias por el apoyo en la entrega saludos.",Ham
75,"estimado usuario, hola quedamos a las cinco gracias.",Ham
76,"estimado usuario, gracias por el apoyo en la entrega gracias.",Ham
77,atención: adjunto envío el reporte mensual saludos.,Ham
78,"estimado usuario, premio garantizado ¡apúrate!",Spam
