id_correo,texto
100001,"saludos, felicidades eres el ganador haz clic aquí"
100002,atención: oferta de trabajo remota inmediata haz clic aquí
100003,atención: adjunto envío el reporte mensual buen día.
100004,atención: ganar dinero gratis haz clic aquí
100005,"hola, te informo que ¿vamos a comer hoy? buen día."
100006,revisión del código completada saludos.
100007,criptomonedas gratis haz clic aquí
100008,atención: ¿vamos a comer hoy? buen día.
100009,atención: enviaré los comentarios por correo gracias.
100010,"saludos, agenda de la sesión de mañana quedo atento."
100011,"hola, te informo que viagra sin receta actúa ya"
100012,atención: felicidades eres el ganador solo por hoy
100013,"hola, te informo que invierte en cripto ya actúa ya"
100014,actualización del servidor el fin de semana gracias.
100015,"hola, te informo que oferta de trabajo remota inmediata haz clic aquí"
100016,"saludos, criptomonedas gratis solo por hoy"
100017,atención: reunión para revisar el proyecto gracias.
100018,gana un iphone ¡apúrate!
100019,"saludos, favor de confirmar asistencia al curso saludos."
100020,atención: adjunto envío el reporte mensual saludos.
100021,"estimado usuario, criptomonedas gratis ¡apúrate!"
100022,"hola, te informo que criptomonedas gratis ¡apúrate!"
100023,"hola, te informo que invierte en cripto ya haz clic aquí"
100024,"estimado usuario, ¿vamos a comer hoy? gracias."
100025,atención: urgente cambiar contraseña ¡apúrate!
100026,"hola, te informo que ¿vamos a comer hoy? saludos."
100027,atención: descuento exclusivo hoy solo por hoy
100028,"estimado usuario, gana un iphone solo por hoy"
100029,"estimado usuario, actualización del servidor el fin de semana saludos."
100030,gracias por el apoyo en la entrega quedo atento.
100031,"estimado usuario, enviaré los comentarios por correo quedo atento."
100032,atención: gracias por el apoyo en la entrega saludos.
100033,atención: actualización del servidor el fin de semana gracias.
100034,"estimado usuario, hola quedamos a las cinco gracias."
100035,"estimado usuario, oferta de trabajo remota inmediata actúa ya"
100036,adjunto envío el reporte mensual buen día.
100037,atención: enviaré los comentarios por correo gracias.
100038,atención: gracias por el apoyo en la entrega quedo atento.
100039,atención: felicidades eres el ganador ¡apúrate!
100040,"saludos, favor de confirmar asistencia al curso saludos."
100041,hola quedamos a las cinco buen día.
100042,descuento exclusivo hoy solo por hoy
100043,"hola, te informo que oferta de trabajo remota inmediata ¡apúrate!"
100044,descuento exclusivo hoy ¡apúrate!
100045,"saludos, criptomonedas gratis haz clic aquí"
100046,"hola, te informo que cuenta bancaria bloqueada ¡apúrate!"
100047,"estimado usuario, revisión del código completada gracias."
100048,"saludos, actualización del servidor el fin de semana gracias."
100049,"estimado usuario, adjunto envío el reporte mensual quedo atento."
100050,"estimado usuario, invierte en cripto ya solo por hoy"
100051,atención: cuenta bancaria bloqueada solo por hoy
100052,¿vamos a comer hoy? saludos.
100053,descuento exclusivo hoy ¡apúrate!
100054,"hola, te informo que favor de confirmar asistencia al curso gracias."
100055,atención: ganar dinero gratis ¡apúrate!
100056,"hola, te informo que enviaré los comentarios por correo quedo atento."
100057,revisión del código completada buen día.
100058,"estimado usuario, adjunto envío el reporte mensual gracias."
100059,ganar dinero gratis actúa ya
100060,"estimado usuario, agenda de la sesión de mañana buen día."
100061,"hola, te informo que actualización del servidor el fin de semana gracias."
100062,"hola, te informo que enviaré los comentarios por correo saludos."
100063,"hola, te informo que actualización del servidor el fin de semana buen día."
100064,"hola, te informo que cuenta bancaria bloqueada actúa ya"
100065,atención: enviaré los comentarios por correo quedo atento.
100066,"hola, te informo que ¿vamos a comer hoy? saludos."
100067,"saludos, reclama tu herencia ¡apúrate!"
100068,"estimado usuario, actualización del servidor el fin de semana gracias."
100069,"saludos, ganar dinero gratis actúa ya"
100070,"saludos, premio garantizado ¡apúrate!"
100071,revisión del código completada buen día.
100072,oferta de trabajo remota inmediata haz clic aquí
100073,"saludos, favor de confirmar asistencia al curso quedo atento."
100074,"saludos, favor de confirmar asistencia al curso gracias."
